1.50294E+18,1000000,8/17/17,17395.16667,date,,balance,date,balance,,
1.51187E+18,722323.6365,,,11/28/17,721887.076,1443774.152,11/28/17,1443774.152,,
1.51194E+18,720866.3349,,,11/28/17,722323.6365,1444647.273,11/28/17,1444647.273,,
1.51198E+18,641697.2167,,,11/29/17,720866.3349,1441732.67,11/29/17,1441732.67,,
1.51198E+18,610989.5268,,,11/29/17,641697.2167,1283394.433,11/29/17,1283394.433,,
1.51223E+18,627981.7741,,,11/29/17,610989.5268,1221979.054,11/29/17,1221979.054,,
1.51227E+18,630433.8997,,,12/2/17,627981.7741,1255963.548,12/2/17,1255963.548,,
1.51234E+18,591094.9766,,,12/3/17,630433.8997,1260867.799,12/3/17,1260867.799,,
1.51238E+18,588042.9331,,,12/3/17,591094.9766,1182189.953,12/3/17,1182189.953,,
1.51238E+18,588643.5522,,,12/4/17,588042.9331,1176085.866,12/4/17,1176085.866,,
1.51238E+18,590493.0605,,,12/4/17,588643.5522,1177287.104,12/4/17,1177287.104,,
1.51239E+18,594607.7604,,,12/4/17,590493.0605,1180986.121,12/4/17,1180986.121,,
1.51239E+18,594929.6921,,,12/4/17,594607.7604,1189215.521,12/4/17,1189215.521,,
1.51239E+18,595021.8369,,,12/4/17,594929.6921,1189859.384,12/4/17,1189859.384,,
1.51239E+18,596323.2946,,,12/4/17,595021.8369,1190043.674,12/4/17,1190043.674,,
1.51241E+18,588661.2288,,,12/4/17,596323.2946,1192646.589,12/4/17,1192646.589,,
1.51285E+18,595369.817,,,12/4/17,588661.2288,1177322.458,12/4/17,1177322.458,,
1.51285E+18,595422.3867,,,12/9/17,595369.817,1190739.634,12/9/17,1190739.634,,
1.51287E+18,589391.1278,,,12/9/17,595422.3867,1190844.773,12/9/17,1190844.773,,
1.51287E+18,580187.6456,,,12/10/17,589391.1278,1178782.256,12/10/17,1178782.256,,
1.51287E+18,585317.5272,,,12/10/17,580187.6456,1160375.291,12/10/17,1160375.291,,
1.51288E+18,568847.691,,,12/10/17,585317.5272,1170635.054,12/10/17,1170635.054,,
1.51288E+18,568927.8109,,,12/10/17,568847.691,1137695.382,12/10/17,1137695.382,,
1.51294E+18,575787.845,,,12/10/17,568927.8109,1137855.622,12/10/17,1137855.622,,
1.5133E+18,800355.8754,,,12/10/17,575787.845,1151575.69,12/10/17,1151575.69,,
1.5133E+18,795514.655,,,12/15/17,800355.8754,1600711.751,12/15/17,1600711.751,,
1.5133E+18,795623.9993,,,12/15/17,795514.655,1591029.31,12/15/17,1591029.31,,
1.51333E+18,774815.9545,,,12/15/17,795623.9993,1591247.999,12/15/17,1591247.999,,
1.51333E+18,775474.9319,,,12/15/17,774815.9545,1549631.909,12/15/17,1549631.909,,
1.51356E+18,782350.4412,,,12/15/17,775474.9319,1550949.864,12/15/17,1550949.864,,
1.51372E+18,856265.185,,,12/18/17,782350.4412,1564700.882,12/18/17,1564700.882,,
1.51372E+18,859663.0627,,,12/19/17,856265.185,1712530.37,12/19/17,1712530.37,,
1.51372E+18,883250.4082,,,12/19/17,859663.0627,1719326.125,12/19/17,1719326.125,,
1.51372E+18,861568.5811,,,12/19/17,883250.4082,1766500.816,12/19/17,1766500.816,,
1.51372E+18,862754.7262,,,12/19/17,861568.5811,1723137.162,12/19/17,1723137.162,,
1.51373E+18,871661.5881,,,12/19/17,862754.7262,1725509.452,12/19/17,1725509.452,,
1.51373E+18,876616.7977,,,12/19/17,871661.5881,1743323.176,12/19/17,1743323.176,,
1.51373E+18,881362.6848,,,12/19/17,876616.7977,1753233.595,12/19/17,1753233.595,,
1.51373E+18,777425.0866,,,12/19/17,881362.6848,1762725.37,12/19/17,1762725.37,,533035.1829
1.51375E+18,802914.7822,,,12/20/17,777425.0866,1554850.173,12/20/17,1554850.173,,0.302392643
1.51378E+18,842158.9658,,,12/20/17,802914.7822,1605829.564,12/20/17,1605829.564,,
1.51378E+18,843444.8347,,,12/20/17,842158.9658,1684317.932,12/20/17,1684317.932,,
1.51387E+18,762027.625,,,12/20/17,843444.8347,1686889.669,12/20/17,1686889.669,,
1.51408E+18,678001.2257,,,12/21/17,762027.625,1524055.25,12/21/17,1524055.25,,
1.51411E+18,657680.7754,,,12/24/17,678001.2257,1356002.451,12/24/17,1356002.451,,
